km_driven,seats,mileage,engine,max_power,nm,selling_price,fuel
145500,5.0,23.4,1248,74.0,190.0,450000,0
120000,5.0,21.14,1498,103.52,250.0,370000,0
140000,5.0,17.7,1497,78.0,124.54,158000,1
127000,5.0,23.0,1396,90.0,219.67,225000,0
120000,5.0,16.1,1298,88.2,112.78,130000,1
45000,5.0,20.14,1197,81.86,113.75,440000,1
5000,4.0,16.1,796,37.0,59.0,45000,1
90000,5.0,23.59,1364,67.1,170.0,350000,0
169000,5.0,20.0,1399,68.1,160.0,200000,0
68000,5.0,19.01,1461,108.45,248.0,500000,0
100000,5.0,17.3,993,60.0,78.0,92000,1
140000,5.0,19.3,1248,73.9,190.0,280000,0
90000,5.0,18.9,1061,67.0,84.0,180000,1
40000,5.0,18.15,1198,82.0,115.0,400000,1
70000,7.0,24.52,1248,88.5,200.0,778000,0
53000,5.0,23.0,1396,90.0,219.67,500000,0
80000,5.0,19.7,796,46.3,62.0,150000,1
100000,5.0,22.54,1396,88.73,219.7,680000,0
100000,5.0,21.0,1461,64.1,160.0,174000,0
50000,5.0,25.5,1498,98.6,200.0,950000,0
40000,5.0,26.59,1248,74.0,190.0,525000,0
72000,5.0,21.5,1248,88.8,200.0,600000,0
35000,5.0,20.3,1199,83.81,114.0,500000,1
45000,5.0,21.4,1197,83.1,115.0,575000,1
28000,5.0,24.7,796,47.3,69.0,275000,1
70000,7.0,18.2,1248,73.8,172.5,300000,0
120000,5.0,18.9,1061,67.0,84.0,220000,1
25000,8.0,16.8,796,34.2,59.0,254999,1
70000,5.0,24.3,1248,88.5,200.0,670000,0
35000,5.0,14.0,796,35.0,59.82,150000,1
2388,5.0,18.6,1197,81.83,114.7,730000,1
16200,5.0,24.3,1248,88.5,200.0,650000,0
15000,5.0,23.95,998,67.1,90.0,366000,1
5000,5.0,17.0,1591,121.3,151.0,1149000,1
42000,5.0,20.63,1198,67.0,104.0,150000,1
60000,7.0,13.93,2179,138.03,320.0,425000,0
76000,4.0,16.1,796,37.0,59.0,150000,1
5000,5.0,16.0,1368,160.77,250.0,2100000,1
28900,5.0,17.8,1497,117.3,145.0,925000,1
86300,5.0,16.8,1497,116.3,146.0,425000,1
23300,5.0,18.5,1197,83.14,115.0,675000,1
32600,5.0,24.3,1248,88.5,200.0,819999,0
10300,5.0,23.95,998,67.05,90.0,390000,1
77000,7.0,12.55,2982,168.5,343.0,1500000,0
99000,7.0,12.99,2494,100.0,200.0,700000,0
27800,5.0,14.8,2143,120.7,200.0,1450000,0
49800,5.0,24.7,1498,98.63,200.0,425000,0
151000,7.0,13.5,2477,175.56,400.0,1090000,0
54700,5.0,26.0,1498,98.6,200.0,600000,0
64000,5.0,20.65,1462,103.25,138.0,850000,1
63000,5.0,27.3,1498,98.6,200.0,525000,0
127700,7.0,11.36,2755,171.5,360.0,1650000,0
99000,7.0,12.99,2494,100.6,200.0,950000,0
33900,5.0,17.68,1968,174.33,380.0,1750000,0
25000,5.0,14.28,1798,138.03,173.0,1590000,1
50000,5.0,18.53,1968,187.74,400.0,1689999,0
59000,5.0,14.84,2143,170.0,400.0,1425000,0
120000,5.0,21.12,1248,88.8,200.0,265000,0
110000,5.0,20.36,1197,78.9,111.7,190000,1
60000,5.0,21.27,1396,88.76,219.6,425000,0
147000,5.0,26.59,1248,74.0,190.0,630000,0
25000,5.0,18.16,1196,86.8,112.0,600000,1
