year,km_driven,fuel,transmission,seller_type,owner,seats,mileage,engine,max_power,nm,Ambassador,Ashok,Audi,BMW,Chevrolet,Daewoo,Datsun,Fiat,Force,Ford,Honda,Hyundai,Isuzu,Jaguar,Jeep,Kia,Land,MG,Mahindra,Maruti,Mercedes-Benz,Mitsubishi,Nissan,Opel,Renault,Skoda,Tata,Toyota,Volkswagen,Volvo,selling_price
2014,145500,1,1,1,0,5.0,23.4,1248,74.0,190.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,450000
2014,120000,1,1,1,2,5.0,21.14,1498,103.52,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,370000
2006,140000,3,1,1,4,5.0,17.7,1497,78.0,124.54,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158000
2010,127000,1,1,1,0,5.0,23.0,1396,90.0,219.67,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225000
2007,120000,3,1,1,0,5.0,16.1,1298,88.2,112.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,130000
2017,45000,3,1,1,0,5.0,20.14,1197,81.86,113.75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440000
2007,175000,2,1,1,0,5.0,17.3,1061,57.5,76.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,96000
2001,5000,3,1,1,2,4.0,16.1,796,37.0,59.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,45000
2011,90000,1,1,1,0,5.0,23.59,1364,67.1,170.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,350000
2013,169000,1,1,1,0,5.0,20.0,1399,68.1,160.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000
2014,68000,1,1,1,2,5.0,19.01,1461,108.45,248.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,500000
2005,100000,3,1,1,2,5.0,17.3,993,60.0,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,92000
2009,140000,1,1,1,2,5.0,19.3,1248,73.9,190.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,280000
2009,90000,3,1,1,2,5.0,18.9,1061,67.0,84.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,180000
