brand,year,km_driven,fuel,transmission,seller_type,owner,seats,mileage,engine,max_power,nm,selling_price
Maruti,2014,145500,Diesel,Manual,Individual,First Owner,5.0,23.4,1248,74.0,190.0,450000
Skoda,2014,120000,Diesel,Manual,Individual,Second Owner,5.0,21.14,1498,103.52,250.0,370000
Honda,2006,140000,Petrol,Manual,Individual,Third Owner,5.0,17.7,1497,78.0,124.54,158000
Hyundai,2010,127000,Diesel,Manual,Individual,First Owner,5.0,23.0,1396,90.0,219.67,225000
Maruti,2007,120000,Petrol,Manual,Individual,First Owner,5.0,16.1,1298,88.2,112.78,130000
Hyundai,2017,45000,Petrol,Manual,Individual,First Owner,5.0,20.14,1197,81.86,113.75,440000
Maruti,2001,5000,Petrol,Manual,Individual,Second Owner,4.0,16.1,796,37.0,59.0,45000
Toyota,2011,90000,Diesel,Manual,Individual,First Owner,5.0,23.59,1364,67.1,170.0,350000
Ford,2013,169000,Diesel,Manual,Individual,First Owner,5.0,20.0,1399,68.1,160.0,200000
Renault,2014,68000,Diesel,Manual,Individual,Second Owner,5.0,19.01,1461,108.45,248.0,500000
Maruti,2005,100000,Petrol,Manual,Individual,Second Owner,5.0,17.3,993,60.0,78.0,92000
Maruti,2009,140000,Diesel,Manual,Individual,Second Owner,5.0,19.3,1248,73.9,190.0,280000
Maruti,2009,90000,Petrol,Manual,Individual,Second Owner,5.0,18.9,1061,67.0,84.0,180000
Mahindra,2016,40000,Petrol,Manual,Individual,First Owner,5.0,18.15,1198,82.0,115.0,400000
Maruti,2016,70000,Diesel,Manual,Individual,Second Owner,7.0,24.52,1248,88.5,200.0,778000
Hyundai,2012,53000,Diesel,Manual,Individual,Second Owner,5.0,23.0,1396,90.0,219.67,500000
Maruti,2002,80000,Petrol,Manual,Individual,Second Owner,5.0,19.7,796,46.3,62.0,150000
Hyundai,2016,100000,Diesel,Manual,Individual,First Owner,5.0,22.54,1396,88.73,219.7,680000
Mahindra,2011,100000,Diesel,Manual,Individual,Second Owner,5.0,21.0,1461,64.1,160.0,174000
Honda,2017,50000,Diesel,Manual,Individual,First Owner,5.0,25.5,1498,98.6,200.0,950000
Maruti,2015,40000,Diesel,Manual,Individual,First Owner,5.0,26.59,1248,74.0,190.0,525000
Maruti,2012,72000,Diesel,Manual,Individual,First Owner,5.0,21.5,1248,88.8,200.0,600000
Tata,2018,35000,Petrol,Manual,Individual,First Owner,5.0,20.3,1199,83.81,114.0,500000
Maruti,2016,45000,Petrol,Manual,Individual,First Owner,5.0,21.4,1197,83.1,115.0,575000
Maruti,2017,28000,Petrol,Manual,Individual,First Owner,5.0,24.7,796,47.3,69.0,275000
Chevrolet,2013,70000,Diesel,Manual,Individual,First Owner,7.0,18.2,1248,73.8,172.5,300000
Maruti,2009,120000,Petrol,Manual,Individual,First Owner,5.0,18.9,1061,67.0,84.0,220000
Maruti,2018,25000,Petrol,Manual,Individual,First Owner,8.0,16.8,796,34.2,59.0,254999
Maruti,2017,70000,Diesel,Manual,Individual,First Owner,5.0,24.3,1248,88.5,200.0,670000
Maruti,2012,35000,Petrol,Manual,Individual,Second Owner,5.0,14.0,796,35.0,59.82,150000
Hyundai,2018,2388,Petrol,Manual,Individual,First Owner,5.0,18.6,1197,81.83,114.7,730000
Maruti,2017,16200,Diesel,Manual,Individual,First Owner,5.0,24.3,1248,88.5,200.0,650000
Maruti,2019,15000,Petrol,Manual,Individual,First Owner,5.0,23.95,998,67.1,90.0,366000
Hyundai,2019,5000,Petrol,Manual,Individual,First Owner,5.0,17.0,1591,121.3,151.0,1149000
Datsun,2016,42000,Petrol,Manual,Individual,First Owner,5.0,20.63,1198,67.0,104.0,150000
Tata,2011,60000,Diesel,Manual,Individual,Second Owner,7.0,13.93,2179,138.03,320.0,425000
Maruti,2012,76000,Petrol,Manual,Individual,First Owner,4.0,16.1,796,37.0,59.0,150000
Jeep,2019,5000,Petrol,Automatic,Individual,First Owner,5.0,16.0,1368,160.77,250.0,2100000
Honda,2018,28900,Petrol,Manual,Dealer,First Owner,5.0,17.8,1497,117.3,145.0,925000
Honda,2013,86300,Petrol,Manual,Dealer,First Owner,5.0,16.8,1497,116.3,146.0,425000
Maruti,2018,23300,Petrol,Automatic,Dealer,First Owner,5.0,18.5,1197,83.14,115.0,675000
Maruti,2018,32600,Diesel,Manual,Dealer,First Owner,5.0,24.3,1248,88.5,200.0,819999
Maruti,2018,10300,Petrol,Manual,Dealer,First Owner,5.0,23.95,998,67.05,90.0,390000
Toyota,2014,77000,Diesel,Manual,Dealer,First Owner,7.0,12.55,2982,168.5,343.0,1500000
Toyota,2013,99000,Diesel,Manual,Dealer,First Owner,7.0,12.99,2494,100.0,200.0,700000
Mercedes-Benz,2014,27800,Diesel,Automatic,Dealer,Second Owner,5.0,14.8,2143,120.7,200.0,1450000
Honda,2015,49800,Diesel,Manual,Dealer,First Owner,5.0,24.7,1498,98.63,200.0,425000
Mitsubishi,2013,151000,Diesel,Manual,Dealer,First Owner,7.0,13.5,2477,175.56,400.0,1090000
Honda,2015,54700,Diesel,Manual,Dealer,First Owner,5.0,26.0,1498,98.6,200.0,600000
Maruti,2018,64000,Petrol,Manual,Dealer,First Owner,5.0,20.65,1462,103.25,138.0,850000
Honda,2015,63000,Diesel,Manual,Dealer,First Owner,5.0,27.3,1498,98.6,200.0,525000
Toyota,2016,127700,Diesel,Automatic,Dealer,Second Owner,7.0,11.36,2755,171.5,360.0,1650000
Toyota,2016,99000,Diesel,Manual,Dealer,First Owner,7.0,12.99,2494,100.6,200.0,950000
Audi,2013,33900,Diesel,Automatic,Dealer,Second Owner,5.0,17.68,1968,174.33,380.0,1750000
Toyota,2018,25000,Petrol,Automatic,Dealer,First Owner,5.0,14.28,1798,138.03,173.0,1590000
Audi,2013,50000,Diesel,Automatic,Dealer,First Owner,5.0,18.53,1968,187.74,400.0,1689999
Mercedes-Benz,2013,59000,Diesel,Automatic,Dealer,First Owner,5.0,14.84,2143,170.0,400.0,1425000
Tata,2011,120000,Diesel,Manual,Individual,First Owner,5.0,21.12,1248,88.8,200.0,265000
Hyundai,2011,110000,Petrol,Manual,Individual,Third Owner,5.0,20.36,1197,78.9,111.7,190000
Hyundai,2013,60000,Diesel,Manual,Individual,First Owner,5.0,21.27,1396,88.76,219.6,425000
Maruti,2015,147000,Diesel,Manual,Individual,Second Owner,5.0,26.59,1248,74.0,190.0,630000
Ford,2017,25000,Petrol,Manual,Individual,Third Owner,5.0,18.16,1196,86.8,112.0,600000
Maruti,2019,30000,Petrol,Manual,Individual,First Owner,5.0,21.4,1197,83.1,115.0,650000
Volkswagen,2016,40000,Diesel,Manual,Individual,First Owner,5.0,22.0,1498,108.495,250.0,540000
Honda,2015,135000,Diesel,Manual,Individual,First Owner,5.0,25.1,1498,98.6,200.0,630000
Maruti,2018,30000,Petrol,Automatic,Individual,First Owner,5.0,20.51,998,67.0,90.0,448000
Volkswagen,2017,80000,Diesel,Manual,Individual,First Owner,5.0,21.66,1498,108.62,250.0,500000
Maruti,2016,70000,Diesel,Manual,Individual,First Owner,5.0,24.3,1248,88.5,200.0,745000
Maruti,2019,9850,Diesel,Automatic,Individual,First Owner,5.0,24.3,1248,88.5,200.0,1025000
Hyundai,2011,60000,Petrol,Manual,Individual,Second Owner,5.0,20.36,1197,78.9,111.7,235000
Maruti,2016,70000,Diesel,Manual,Individual,First Owner,5.0,25.2,1248,74.0,190.0,630000
Toyota,2015,78000,Diesel,Manual,Individual,Second Owner,7.0,12.55,2982,168.5,343.0,1700000
Maruti,2013,120000,Diesel,Manual,Individual,Second Owner,5.0,22.9,1248,74.0,190.0,450000
Maruti,2012,120000,Petrol,Manual,Individual,Second Owner,7.0,16.02,1373,93.7,130.0,450000
Volkswagen,2013,170000,Diesel,Manual,Individual,First Owner,5.0,20.54,1598,103.6,250.0,450000
Toyota,2016,140000,Diesel,Manual,Individual,First Owner,8.0,12.99,2494,100.6,200.0,1200000
Ford,2015,90000,Diesel,Manual,Individual,First Owner,5.0,22.77,1498,98.59,205.0,610000
BMW,2016,30000,Petrol,Automatic,Individual,Second Owner,5.0,15.71,1998,189.0,280.0,2500000
Maruti,2017,10000,Petrol,Manual,Dealer,First Owner,5.0,23.1,998,67.04,90.0,484999
Datsun,2016,49000,Petrol,Manual,Dealer,First Owner,5.0,19.02,1198,67.05,104.0,275000
Maruti,2016,32000,Petrol,Manual,Dealer,First Owner,5.0,24.7,796,47.3,69.0,315000
Maruti,2016,38000,Petrol,Manual,Dealer,First Owner,5.0,24.7,796,47.3,69.0,275000
Hyundai,2012,28000,Petrol,Manual,Dealer,First Owner,5.0,19.81,1086,68.05,99.04,290000
Maruti,2017,32000,Petrol,Manual,Dealer,First Owner,5.0,14.0,796,35.0,59.82,280000
Volkswagen,2015,42000,Petrol,Manual,Dealer,First Owner,5.0,16.47,1198,74.0,110.0,455000
Hyundai,2015,45000,Petrol,Manual,Dealer,Second Owner,5.0,19.81,1086,68.05,99.04,351000
